general_folder,folder,file,ptm,gene,other,fnm
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM159,PTM159,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM159,PTM159,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM160_psbAF1_P1409947_079.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM160,PTM160,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM160,PTM160,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM165_GWSFn_P1409947_016.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM165_psbAF1_P1409947_080.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM165,PTM165,gwsfn,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM165,PTM165,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM165,PTM165,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182_CO1_GWSFn_P1816040_027.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182_CO1_GWSRx_P1916649_027.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182_psbAF1_P1409947_095.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182_rbcL_F753_P1816040_049.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182_rbcL_revNEW_P1916649_049.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182,PTM182,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM182,PTM182,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM188,CO1/PTM188,m3f1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM188,CO1/PTM188,m3r1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM197_psbAF1_P1409947_096.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM197,PTM197,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM197,PTM197,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM198_LF3_P1308312_029.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM198_Rx_P1308312_075.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM198,COI/failed run/PTM198,lf3,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM198,COI/failed run/PTM198,rx,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM198,PTM198,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199_LF3_P1308312_014.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199_psbAF1_P1409947_013.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199_Rx_P1308312_060.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199,COI/failed run/PTM199,lf3,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199,COI/failed run/PTM199,rx,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199,COI/PTM199,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199,PTM199,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM199,PTM199,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM202_LF3_P1308312_030.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM202_Rx_P1308312_076.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM202,COi/failed run/PTM202,lf3,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM202,COi/failed run/PTM202,rx,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM202,PTM202,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM203,PTM203,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM204_LF3_P1308312_045.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM204_Rx_P1308312_091.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM204,COI/failed run/PTM204,lf3,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM204,COI/failed run/PTM204,rx,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM204,COI/PTM204,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_CO1_GWSRx_pos_P1916649_009.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_LF3_P1308312_046.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_rbcL_F57_pos_P1916649_043.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_rbcL_F753_pos_P1916649_002.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_rbcL_r1150k_pos_P1916649_045.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_rbcL_revNEW_pos_P1916649_001.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205_Rx_P1308312_092.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205,COI/failed run/PTM205,lf3,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205,COI/failed run/PTM205,rx,P1308312,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM205,PTM205,gwsfn,P1308415,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM206,PTM206,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM207,rbcL/207a-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM207,rbcL/207a-F57,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM207,rbcL/207b-F57,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM208,RbcL/208-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM209,RbcL/209-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM210,RbcL/210-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM211,RbcL/211-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM212,RbcL/212-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM212,RbcL/212-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM212,RbcL/212-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM212,RbcL/212-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM213_CO1_GWSfn_dim_P1916649_011.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM213_CO1_GWSrx_dim_P1916649_013.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM213_rbcL_F753_pos_P1916649_004.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM213_rbcL_revNEW_pos_P1916649_003.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM213,RbcL/213-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM229,RbcL/329-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM305,PTM305/305-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM306,PTM306/306-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM307,PTM307/307-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM308,RbcL/308-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM308,RbcL/308-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM308,RbcL/308-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM308,RbcL/308-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309_CO1_GWSFn_P1816040_025.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309_CO1_GWSRx_P1916649_025.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309_rbcL_F753_P1816040_064.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309_rbcL_revNEW_P1916649_064.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309,RbcL/309-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309,RbcL/309-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309,RbcL/309-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM309,RbcL/309-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM310,PTM310/310-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM311,PTM311/311-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM313,PTM313/313-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314_CO1_GWSFn_P1816040_023.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314_CO1_GWSRx_P1916649_023.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314_rbcL_F753_P1816040_062.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314_rbcL_revNEW_P1916649_062.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314,PTM314,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314,RbcL/314-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314,RbcL/314-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314,RbcL/314-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM314,RbcL/314-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM315,RbcL/315-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM315,RbcL/315-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM315,RbcL/315-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM315,RbcL/315-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM316,RbcL/316-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM317,RbcL/317-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM318,RbcL/318-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM319,RbcL/319-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM320,RbcL/320-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM321,RbcL/321-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM321,RbcL/321-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM321,RbcL/321-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM321,RbcL/321-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM322,RbcL/322-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM323,RbcL/323-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM324,RbcL/324-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM325,RbcL/325-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM326,RbcL/326-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,,GWSRx,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,f57,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,gwsfn,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,psbaf,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,psbar2,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,rbclrevnew,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,tlf5,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,PTM327,tlr,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM327,RbcL/327-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM328,RbcL/328-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM330,RbcL/330-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM331,RbcL/331-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332_rbcL_revNEW_pos_P1916649_082.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332,RbcL/332-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332,RbcL/332-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_CO1_GWSFn_P1815408_015_GOOD.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_CO1_GWSRx_P1815408_047_GOOD.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_GWSFn_P1815408_015.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_GWSRx_P1815408_047.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_psbAF1_P1815408_079_GOOD.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_psbaF1_P1815408_079.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_psbAR2_P1815408_030_GOOD.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM332dil1.5_psbaR2_P1815408_030.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM333,RbcL/333-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM334,RbcL/334-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM335,RbcL/335-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM336,RbcL/336-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM337,RbcL/337-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM339,PTM339,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM339,RbcL/339-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM340,PTM340,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM345,RbcL/345-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM350,PTM350,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM351_psbAF1_P1409947_014.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM351,PTM351,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM351,PTM351,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM355,RbcL/355-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM355,RbcL/355-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM355,RbcL/355-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM355,RbcL/355-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM356,RbcL/356-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM357,RbcL/357-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM358,RbcL/358-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM358,RbcL/358-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM358,RbcL/358-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM358,RbcL/358-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM358,RbcL/358-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM359,RbcL/359-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM359,RbcL/359-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM359,RbcL/359-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM359,RbcL/359-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM359,RbcL/359-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM360,RbcL/360-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM360,RbcL/360-F57,rbclrevnew,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM360,RbcL/360-F57,tlf5,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM360,RbcL/360-F57,tlr1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM361,RbcL/361-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM362,RbcL/362-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_CO1_GWSfn_pos_P1916649_096.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_CO1_GWSrx_pos_P1916649_094.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_psbAF1_brt_P1916649_001.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_psbAR2_brt_P1916649_003.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_rbcL_r1150k_pos_P1916649_047.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363_rbcL_revNEW_brt_P1916649_084.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363,PTM363,gwsfn,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363,PTM363,gwsrx,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363,RbcL/363-F57,f57,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM363,RbcL/363-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,f57,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,gwsfn,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,gwsrx,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,psbaf,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,psbar2,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,rbclrevnew,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,tlf5,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,PTM364,tlr,P1410467,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM364,RbcL/364-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM365,RbcL/365-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM366,RbcL/366-F753,rrbcsst,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM366,RbcL/366-R1150K,r150k1,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM367,CO1/367-GWSFn,gwsfn,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM368,CO1/368-GWSFn,gwsfn,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM368,CO1/368-GWSFn,gwsrx,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM369,CO1/369-GWSFn,gwsfn,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM369,CO1/369-GWSFn,gwsrx,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM37_psbAF1_P1409947_015.ab1,NA,NA,NA,NA
